subset,file_name,width,height,class_name,xmin,ymin,xmax,ymax,xc,yc,w,h,aspect_ratio
train,crazing_110.xml,200,200,crazing,1,16,89,79,45.0,47.5,88,63,1.3968253968253967
train,crazing_111.xml,200,200,crazing,37,28,167,109,102.0,68.5,130,81,1.6049382716049383
train,crazing_111.xml,200,200,crazing,119,12,199,126,159.0,69.0,80,114,0.7017543859649122
train,crazing_112.xml,200,200,crazing,14,44,123,106,68.5,75.0,109,62,1.7580645161290323
train,crazing_112.xml,200,200,crazing,3,119,138,182,70.5,150.5,135,63,2.142857142857143
train,crazing_112.xml,200,200,patches,124,34,165,112,144.5,73.0,41,78,0.5256410256410257
train,crazing_113.xml,200,200,crazing,23,134,123,186,73.0,160.0,100,52,1.9230769230769231
train,crazing_113.xml,200,200,crazing,1,48,162,116,81.5,82.0,161,68,2.3676470588235294
train,crazing_114.xml,200,200,crazing,41,139,169,188,105.0,163.5,128,49,2.6122448979591835
train,crazing_114.xml,200,200,crazing,5,52,46,198,25.5,125.0,41,146,0.2808219178082192
train,crazing_114.xml,200,200,crazing,2,16,94,91,48.0,53.5,92,75,1.2266666666666666
train,crazing_115.xml,200,200,crazing,9,25,187,74,98.0,49.5,178,49,3.63265306122449
train,crazing_115.xml,200,200,crazing,24,79,109,135,66.5,107.0,85,56,1.5178571428571428
train,crazing_115.xml,200,200,crazing,97,45,192,141,144.5,93.0,95,96,0.9895833333333334
train,crazing_116.xml,200,200,crazing,121,13,174,69,147.5,41.0,53,56,0.9464285714285714
train,crazing_116.xml,200,200,crazing,19,113,134,186,76.5,149.5,115,73,1.5753424657534247
train,crazing_117.xml,200,200,crazing,12,39,154,144,83.0,91.5,142,105,1.3523809523809525
train,crazing_117.xml,200,200,crazing,66,138,169,189,117.5,163.5,103,51,2.019607843137255
train,crazing_118.xml,200,200,crazing,7,144,79,188,43.0,166.0,72,44,1.6363636363636365
train,crazing_118.xml,200,200,crazing,1,65,75,138,38.0,101.5,74,73,1.0136986301369864
train,crazing_118.xml,200,200,crazing,44,120,178,173,111.0,146.5,134,53,2.5283018867924527
train,crazing_118.xml,200,200,crazing,58,82,195,133,126.5,107.5,137,51,2.6862745098039214
train,crazing_119.xml,200,200,crazing,72,63,193,147,132.5,105.0,121,84,1.4404761904761905
train,crazing_119.xml,200,200,crazing,1,112,136,157,68.5,134.5,135,45,3.0
train,crazing_119.xml,200,200,crazing,64,14,171,58,117.5,36.0,107,44,2.4318181818181817
train,crazing_119.xml,200,200,crazing,5,18,137,98,71.0,58.0,132,80,1.65
train,crazing_12.xml,200,200,crazing,1,1,141,50,71.0,25.5,140,49,2.857142857142857
train,crazing_12.xml,200,200,crazing,1,107,119,162,60.0,134.5,118,55,2.1454545454545455
train,crazing_120.xml,200,200,crazing,83,6,178,57,130.5,31.5,95,51,1.8627450980392157
train,crazing_120.xml,200,200,crazing,106,68,200,108,153.0,88.0,94,40,2.35
train,crazing_120.xml,200,200,crazing,1,81,117,146,59.0,113.5,116,65,1.7846153846153847
train,crazing_120.xml,200,200,crazing,1,81,117,146,59.0,113.5,116,65,1.7846153846153847
train,crazing_120.xml,200,200,crazing,91,110,199,152,145.0,131.0,108,42,2.5714285714285716
train,crazing_121.xml,200,200,crazing,72,114,173,171,122.5,142.5,101,57,1.7719298245614035
train,crazing_121.xml,200,200,crazing,23,21,156,72,89.5,46.5,133,51,2.607843137254902
train,crazing_122.xml,200,200,crazing,82,136,195,166,138.5,151.0,113,30,3.7666666666666666
train,crazing_122.xml,200,200,crazing,44,73,109,133,76.5,103.0,65,60,1.0833333333333333
train,crazing_123.xml,200,200,crazing,78,121,194,167,136.0,144.0,116,46,2.5217391304347827
train,crazing_124.xml,200,200,crazing,42,24,185,71,113.5,47.5,143,47,3.0425531914893615
train,crazing_124.xml,200,200,crazing,1,12,39,160,20.0,86.0,38,148,0.25675675675675674
train,crazing_125.xml,200,200,crazing,71,80,193,127,132.0,103.5,122,47,2.595744680851064
train,crazing_125.xml,200,200,crazing,64,23,196,93,130.0,58.0,132,70,1.8857142857142857
train,crazing_125.xml,200,200,crazing,114,66,200,177,157.0,121.5,86,111,0.7747747747747747
train,crazing_126.xml,200,200,crazing,1,63,108,124,54.5,93.5,107,61,1.7540983606557377
train,crazing_126.xml,200,200,crazing,90,23,198,74,144.0,48.5,108,51,2.1176470588235294
train,crazing_127.xml,200,200,crazing,13,132,119,191,66.0,161.5,106,59,1.7966101694915255
train,crazing_127.xml,200,200,crazing,58,24,145,115,101.5,69.5,87,91,0.9560439560439561
train,crazing_128.xml,200,200,crazing,1,34,60,95,30.5,64.5,59,61,0.9672131147540983
train,crazing_128.xml,200,200,crazing,89,79,156,137,122.5,108.0,67,58,1.1551724137931034
train,crazing_128.xml,200,200,crazing,90,28,174,75,132.0,51.5,84,47,1.7872340425531914
train,crazing_129.xml,200,200,crazing,1,76,94,123,47.5,99.5,93,47,1.9787234042553192
train,crazing_129.xml,200,200,crazing,98,58,169,134,133.5,96.0,71,76,0.9342105263157895
train,crazing_13.xml,200,200,crazing,71,21,140,114,105.5,67.5,69,93,0.7419354838709677
train,crazing_13.xml,200,200,crazing,1,126,89,176,45.0,151.0,88,50,1.76
train,crazing_13.xml,200,200,crazing,124,117,199,173,161.5,145.0,75,56,1.3392857142857142
train,crazing_130.xml,200,200,crazing,2,134,155,179,78.5,156.5,153,45,3.4
train,crazing_130.xml,200,200,crazing,2,6,84,99,43.0,52.5,82,93,0.8817204301075269
train,crazing_130.xml,200,200,crazing,77,104,199,158,138.0,131.0,122,54,2.259259259259259
train,crazing_131.xml,200,200,crazing,1,21,153,76,77.0,48.5,152,55,2.7636363636363637
train,crazing_131.xml,200,200,crazing,18,130,122,186,70.0,158.0,104,56,1.8571428571428572
train,crazing_131.xml,200,200,crazing,131,17,194,106,162.5,61.5,63,89,0.7078651685393258
train,crazing_132.xml,200,200,crazing,45,29,148,83,96.5,56.0,103,54,1.9074074074074074
train,crazing_132.xml,200,200,crazing,37,89,152,149,94.5,119.0,115,60,1.9166666666666667
train,crazing_133.xml,200,200,crazing,57,137,162,194,109.5,165.5,105,57,1.8421052631578947
train,crazing_133.xml,200,200,crazing,47,94,169,161,108.0,127.5,122,67,1.8208955223880596
train,crazing_134.xml,200,200,crazing,33,26,133,80,83.0,53.0,100,54,1.8518518518518519
train,crazing_134.xml,200,200,crazing,40,89,141,148,90.5,118.5,101,59,1.7118644067796611
train,crazing_135.xml,200,200,crazing,13,23,158,106,85.5,64.5,145,83,1.7469879518072289
train,crazing_135.xml,200,200,crazing,50,117,178,191,114.0,154.0,128,74,1.7297297297297298
train,crazing_136.xml,200,200,crazing,1,88,88,144,44.5,116.0,87,56,1.5535714285714286
train,crazing_136.xml,200,200,crazing,126,111,191,184,158.5,147.5,65,73,0.8904109589041096
train,crazing_137.xml,200,200,crazing,32,78,164,136,98.0,107.0,132,58,2.2758620689655173
train,crazing_137.xml,200,200,crazing,38,140,95,192,66.5,166.0,57,52,1.0961538461538463
train,crazing_137.xml,200,200,crazing,38,10,88,67,63.0,38.5,50,57,0.8771929824561403
train,crazing_138.xml,200,200,crazing,26,63,141,142,83.5,102.5,115,79,1.4556962025316456
train,crazing_138.xml,200,200,crazing,56,19,115,66,85.5,42.5,59,47,1.2553191489361701
train,crazing_139.xml,200,200,crazing,1,5,99,70,50.0,37.5,98,65,1.5076923076923077
train,crazing_139.xml,200,200,crazing,7,83,97,136,52.0,109.5,90,53,1.6981132075471699
train,crazing_14.xml,200,200,crazing,22,116,108,170,65.0,143.0,86,54,1.5925925925925926
train,crazing_140.xml,200,200,crazing,27,115,145,185,86.0,150.0,118,70,1.6857142857142857
train,crazing_140.xml,200,200,crazing,146,3,194,164,170.0,83.5,48,161,0.2981366459627329
train,crazing_141.xml,200,200,crazing,4,34,58,134,31.0,84.0,54,100,0.54
train,crazing_141.xml,200,200,crazing,73,117,198,157,135.5,137.0,125,40,3.125
train,crazing_142.xml,200,200,crazing,2,143,100,178,51.0,160.5,98,35,2.8
train,crazing_142.xml,200,200,crazing,121,109,185,164,153.0,136.5,64,55,1.1636363636363636
train,crazing_142.xml,200,200,crazing,2,83,84,135,43.0,109.0,82,52,1.5769230769230769
train,crazing_143.xml,200,200,crazing,12,104,95,186,53.5,145.0,83,82,1.0121951219512195
train,crazing_143.xml,200,200,crazing,9,31,137,100,73.0,65.5,128,69,1.855072463768116
train,crazing_144.xml,200,200,crazing,42,24,189,71,115.5,47.5,147,47,3.127659574468085
train,crazing_144.xml,200,200,crazing,50,91,127,157,88.5,124.0,77,66,1.1666666666666667
train,crazing_145.xml,200,200,crazing,20,9,95,83,57.5,46.0,75,74,1.0135135135135136
train,crazing_145.xml,200,200,crazing,27,91,164,176,95.5,133.5,137,85,1.611764705882353
train,crazing_146.xml,200,200,crazing,43,109,95,193,69.0,151.0,52,84,0.6190476190476191
train,crazing_147.xml,200,200,crazing,90,117,164,159,127.0,138.0,74,42,1.7619047619047619
train,crazing_147.xml,200,200,crazing,3,42,72,93,37.5,67.5,69,51,1.3529411764705883
train,crazing_148.xml,200,200,crazing,4,39,85,97,44.5,68.0,81,58,1.396551724137931
train,crazing_149.xml,200,200,crazing,33,5,149,69,91.0,37.0,116,64,1.8125
train,crazing_149.xml,200,200,crazing,26,108,154,179,90.0,143.5,128,71,1.8028169014084507
train,crazing_15.xml,200,200,crazing,27,46,149,101,88.0,73.5,122,55,2.2181818181818183
train,crazing_15.xml,200,200,crazing,27,16,167,65,97.0,40.5,140,49,2.857142857142857
train,crazing_150.xml,200,200,crazing,52,148,186,196,119.0,172.0,134,48,2.7916666666666665
train,crazing_151.xml,200,200,crazing,91,21,134,106,112.5,63.5,43,85,0.5058823529411764
train,crazing_152.xml,200,200,crazing,48,98,146,135,97.0,116.5,98,37,2.6486486486486487
train,crazing_152.xml,200,200,crazing,2,137,135,191,68.5,164.0,133,54,2.462962962962963
train,crazing_152.xml,200,200,patches,156,136,191,168,173.5,152.0,35,32,1.09375
train,crazing_153.xml,200,200,crazing,1,97,65,158,33.0,127.5,64,61,1.0491803278688525
train,crazing_153.xml,200,200,crazing,76,113,147,197,111.5,155.0,71,84,0.8452380952380952
train,crazing_154.xml,200,200,crazing,1,24,90,99,45.5,61.5,89,75,1.1866666666666668
train,crazing_154.xml,200,200,crazing,97,45,172,117,134.5,81.0,75,72,1.0416666666666667
train,crazing_154.xml,200,200,crazing,98,128,182,173,140.0,150.5,84,45,1.8666666666666667
train,crazing_155.xml,200,200,crazing,15,9,107,82,61.0,45.5,92,73,1.2602739726027397
train,crazing_155.xml,200,200,crazing,111,55,191,168,151.0,111.5,80,113,0.7079646017699115
train,crazing_155.xml,200,200,crazing,2,91,108,149,55.0,120.0,106,58,1.8275862068965518
train,crazing_156.xml,200,200,crazing,1,25,92,94,46.5,59.5,91,69,1.318840579710145
train,crazing_156.xml,200,200,crazing,103,24,193,113,148.0,68.5,90,89,1.0112359550561798
train,crazing_156.xml,200,200,crazing,43,98,132,156,87.5,127.0,89,58,1.5344827586206897
train,crazing_157.xml,200,200,crazing,64,3,161,80,112.5,41.5,97,77,1.2597402597402598
train,crazing_157.xml,200,200,crazing,48,87,166,157,107.0,122.0,118,70,1.6857142857142857
train,crazing_158.xml,200,200,crazing,51,57,125,135,88.0,96.0,74,78,0.9487179487179487
train,crazing_159.xml,200,200,crazing,35,4,124,63,79.5,33.5,89,59,1.5084745762711864
train,crazing_159.xml,200,200,crazing,35,118,197,183,116.0,150.5,162,65,2.4923076923076923
train,crazing_16.xml,200,200,crazing,105,124,178,175,141.5,149.5,73,51,1.4313725490196079
train,crazing_16.xml,200,200,crazing,11,102,75,157,43.0,129.5,64,55,1.1636363636363636
train,crazing_160.xml,200,200,crazing,18,20,154,77,86.0,48.5,136,57,2.3859649122807016
train,crazing_160.xml,200,200,crazing,13,108,136,190,74.5,149.0,123,82,1.5
train,crazing_161.xml,200,200,crazing,77,9,152,138,114.5,73.5,75,129,0.5813953488372093
train,crazing_162.xml,200,200,crazing,58,12,130,149,94.0,80.5,72,137,0.5255474452554745
train,crazing_163.xml,200,200,crazing,1,86,69,185,35.0,135.5,68,99,0.6868686868686869
train,crazing_163.xml,200,200,crazing,86,135,191,198,138.5,166.5,105,63,1.6666666666666667
train,crazing_163.xml,200,200,crazing,72,28,189,87,130.5,57.5,117,59,1.9830508474576272
train,crazing_164.xml,200,200,crazing,12,61,91,176,51.5,118.5,79,115,0.6869565217391305
train,crazing_165.xml,200,200,crazing,50,105,138,170,94.0,137.5,88,65,1.353846153846154
train,crazing_165.xml,200,200,crazing,51,1,127,65,89.0,33.0,76,64,1.1875
train,crazing_166.xml,200,200,crazing,35,31,181,105,108.0,68.0,146,74,1.972972972972973
train,crazing_166.xml,200,200,crazing,28,145,157,189,92.5,167.0,129,44,2.9318181818181817
train,crazing_167.xml,200,200,crazing,90,10,179,101,134.5,55.5,89,91,0.978021978021978
train,crazing_167.xml,200,200,crazing,59,133,198,186,128.5,159.5,139,53,2.6226415094339623
train,crazing_168.xml,200,200,crazing,1,47,136,101,68.5,74.0,135,54,2.5
train,crazing_168.xml,200,200,crazing,1,106,129,188,65.0,147.0,128,82,1.5609756097560976
train,crazing_169.xml,200,200,crazing,4,47,147,112,75.5,79.5,143,65,2.2
train,crazing_169.xml,200,200,crazing,27,117,180,152,103.5,134.5,153,35,4.371428571428571
train,crazing_169.xml,200,200,crazing,19,10,139,62,79.0,36.0,120,52,2.3076923076923075
train,crazing_17.xml,200,200,crazing,111,66,188,174,149.5,120.0,77,108,0.7129629629629629
train,crazing_17.xml,200,200,crazing,124,6,195,102,159.5,54.0,71,96,0.7395833333333334
train,crazing_170.xml,200,200,crazing,48,11,135,77,91.5,44.0,87,66,1.3181818181818181
train,crazing_170.xml,200,200,crazing,23,133,104,180,63.5,156.5,81,47,1.7234042553191489
train,crazing_171.xml,200,200,crazing,96,9,192,89,144.0,49.0,96,80,1.2
train,crazing_172.xml,200,200,crazing,4,15,163,87,83.5,51.0,159,72,2.2083333333333335
train,crazing_172.xml,200,200,crazing,61,97,180,176,120.5,136.5,119,79,1.5063291139240507
train,crazing_173.xml,200,200,crazing,62,97,175,153,118.5,125.0,113,56,2.017857142857143
train,crazing_173.xml,200,200,crazing,62,165,198,198,130.0,181.5,136,33,4.121212121212121
train,crazing_173.xml,200,200,crazing,32,27,151,76,91.5,51.5,119,49,2.4285714285714284
train,crazing_174.xml,200,200,crazing,1,82,116,129,58.5,105.5,115,47,2.4468085106382977
train,crazing_174.xml,200,200,crazing,1,134,174,181,87.5,157.5,173,47,3.6808510638297873
train,crazing_175.xml,200,200,crazing,1,141,94,194,47.5,167.5,93,53,1.7547169811320755
train,crazing_175.xml,200,200,crazing,74,92,151,143,112.5,117.5,77,51,1.5098039215686274
train,crazing_176.xml,200,200,crazing,20,50,194,102,107.0,76.0,174,52,3.3461538461538463
train,crazing_176.xml,200,200,crazing,106,109,195,188,150.5,148.5,89,79,1.1265822784810127
train,crazing_177.xml,200,200,crazing,8,140,149,199,78.5,169.5,141,59,2.389830508474576
train,crazing_177.xml,200,200,crazing,101,42,183,110,142.0,76.0,82,68,1.2058823529411764
train,crazing_177.xml,200,200,crazing,6,99,123,161,64.5,130.0,117,62,1.8870967741935485
train,crazing_178.xml,200,200,crazing,3,117,145,184,74.0,150.5,142,67,2.1194029850746268
train,crazing_178.xml,200,200,crazing,13,38,93,114,53.0,76.0,80,76,1.0526315789473684
train,crazing_179.xml,200,200,crazing,1,7,110,79,55.5,43.0,109,72,1.5138888888888888
train,crazing_179.xml,200,200,crazing,1,72,80,151,40.5,111.5,79,79,1.0
train,crazing_18.xml,200,200,crazing,112,89,198,143,155.0,116.0,86,54,1.5925925925925926
train,crazing_18.xml,200,200,crazing,10,100,85,188,47.5,144.0,75,88,0.8522727272727273
train,crazing_180.xml,200,200,crazing,2,96,198,168,100.0,132.0,196,72,2.7222222222222223
train,crazing_180.xml,200,200,crazing,15,51,136,115,75.5,83.0,121,64,1.890625
train,crazing_180.xml,200,200,crazing,115,6,199,116,157.0,61.0,84,110,0.7636363636363637
train,crazing_180.xml,200,200,crazing,27,148,178,200,102.5,174.0,151,52,2.9038461538461537
train,crazing_181.xml,200,200,crazing,25,48,116,112,70.5,80.0,91,64,1.421875
train,crazing_181.xml,200,200,crazing,27,124,103,199,65.0,161.5,76,75,1.0133333333333334
train,crazing_182.xml,200,200,crazing,30,121,80,198,55.0,159.5,50,77,0.6493506493506493
train,crazing_182.xml,200,200,crazing,142,135,183,194,162.5,164.5,41,59,0.6949152542372882
train,crazing_182.xml,200,200,crazing,143,25,188,82,165.5,53.5,45,57,0.7894736842105263
train,crazing_183.xml,200,200,crazing,47,107,190,183,118.5,145.0,143,76,1.881578947368421
train,crazing_183.xml,200,200,crazing,109,66,200,146,154.5,106.0,91,80,1.1375
train,crazing_183.xml,200,200,crazing,7,34,111,124,59.0,79.0,104,90,1.1555555555555554
train,crazing_184.xml,200,200,crazing,2,64,101,127,51.5,95.5,99,63,1.5714285714285714
train,crazing_184.xml,200,200,crazing,58,133,133,191,95.5,162.0,75,58,1.293103448275862
train,crazing_184.xml,200,200,crazing,110,79,199,123,154.5,101.0,89,44,2.022727272727273
train,crazing_185.xml,200,200,crazing,1,81,184,160,92.5,120.5,183,79,2.3164556962025316
train,crazing_186.xml,200,200,crazing,54,91,178,169,116.0,130.0,124,78,1.5897435897435896
train,crazing_186.xml,200,200,crazing,1,4,103,177,52.0,90.5,102,173,0.5895953757225434
train,crazing_186.xml,200,200,crazing,41,15,184,94,112.5,54.5,143,79,1.8101265822784811
train,crazing_187.xml,200,200,crazing,2,27,171,138,86.5,82.5,169,111,1.5225225225225225
train,crazing_188.xml,200,200,crazing,96,75,198,157,147.0,116.0,102,82,1.2439024390243902
train,crazing_188.xml,200,200,crazing,2,3,189,71,95.5,37.0,187,68,2.75
train,crazing_188.xml,200,200,crazing,1,75,124,180,62.5,127.5,123,105,1.1714285714285715
train,crazing_189.xml,200,200,crazing,4,94,177,152,90.5,123.0,173,58,2.9827586206896552
train,crazing_189.xml,200,200,crazing,3,16,133,77,68.0,46.5,130,61,2.1311475409836067
train,crazing_19.xml,200,200,crazing,92,5,135,116,113.5,60.5,43,111,0.38738738738738737
train,crazing_190.xml,200,200,crazing,1,45,127,147,64.0,96.0,126,102,1.2352941176470589
train,crazing_190.xml,200,200,crazing,18,95,182,157,100.0,126.0,164,62,2.6451612903225805
train,crazing_190.xml,200,200,crazing,1,6,147,65,74.0,35.5,146,59,2.4745762711864407
train,crazing_190.xml,200,200,crazing,54,1,177,37,115.5,19.0,123,36,3.4166666666666665
train,crazing_191.xml,200,200,crazing,8,22,169,62,88.5,42.0,161,40,4.025
train,crazing_191.xml,200,200,crazing,26,76,198,133,112.0,104.5,172,57,3.017543859649123
train,crazing_191.xml,200,200,crazing,29,135,106,195,67.5,165.0,77,60,1.2833333333333334
train,crazing_192.xml,200,200,crazing,137,90,198,198,167.5,144.0,61,108,0.5648148148148148
train,crazing_192.xml,200,200,crazing,17,120,129,191,73.0,155.5,112,71,1.5774647887323943
train,crazing_192.xml,200,200,crazing,54,18,199,64,126.5,41.0,145,46,3.152173913043478
train,crazing_193.xml,200,200,crazing,15,34,156,144,85.5,89.0,141,110,1.2818181818181817
train,crazing_194.xml,200,200,crazing,17,58,177,161,97.0,109.5,160,103,1.5533980582524272
train,crazing_195.xml,200,200,crazing,9,89,149,157,79.0,123.0,140,68,2.0588235294117645
train,crazing_196.xml,200,200,crazing,15,42,197,87,106.0,64.5,182,45,4.044444444444444
train,crazing_196.xml,200,200,crazing,68,2,197,46,132.5,24.0,129,44,2.9318181818181817
train,crazing_196.xml,200,200,crazing,3,140,150,199,76.5,169.5,147,59,2.4915254237288136
train,crazing_197.xml,200,200,crazing,15,97,198,181,106.5,139.0,183,84,2.1785714285714284
train,crazing_197.xml,200,200,crazing,12,8,167,91,89.5,49.5,155,83,1.8674698795180722
train,crazing_198.xml,200,200,crazing,47,99,191,189,119.0,144.0,144,90,1.6
train,crazing_198.xml,200,200,crazing,1,48,85,145,43.0,96.5,84,97,0.865979381443299
train,crazing_198.xml,200,200,crazing,71,1,200,42,135.5,21.5,129,41,3.1463414634146343
train,crazing_199.xml,200,200,crazing,7,19,198,88,102.5,53.5,191,69,2.7681159420289854
train,crazing_199.xml,200,200,crazing,1,89,72,159,36.5,124.0,71,70,1.0142857142857142
train,crazing_2.xml,200,200,crazing,99,120,200,174,149.5,147.0,101,54,1.8703703703703705
train,crazing_2.xml,200,200,crazing,8,16,200,111,104.0,63.5,192,95,2.0210526315789474
train,crazing_20.xml,200,200,crazing,1,109,131,193,66.0,151.0,130,84,1.5476190476190477
train,crazing_20.xml,200,200,crazing,86,60,142,100,114.0,80.0,56,40,1.4
train,crazing_20.xml,200,200,patches,140,29,178,65,159.0,47.0,38,36,1.0555555555555556
train,crazing_200.xml,200,200,crazing,42,7,176,84,109.0,45.5,134,77,1.7402597402597402
train,crazing_200.xml,200,200,crazing,7,97,161,146,84.0,121.5,154,49,3.142857142857143
train,crazing_200.xml,200,200,crazing,4,154,92,196,48.0,175.0,88,42,2.0952380952380953
train,crazing_201.xml,200,200,crazing,16,79,143,193,79.5,136.0,127,114,1.1140350877192982
train,crazing_201.xml,200,200,crazing,31,35,160,88,95.5,61.5,129,53,2.4339622641509435
train,crazing_202.xml,200,200,crazing,21,6,174,105,97.5,55.5,153,99,1.5454545454545454
train,crazing_203.xml,200,200,crazing,19,79,148,168,83.5,123.5,129,89,1.449438202247191
train,crazing_203.xml,200,200,crazing,44,10,170,76,107.0,43.0,126,66,1.9090909090909092
train,crazing_204.xml,200,200,crazing,7,132,165,184,86.0,158.0,158,52,3.0384615384615383
train,crazing_205.xml,200,200,crazing,26,144,83,198,54.5,171.0,57,54,1.0555555555555556
train,crazing_206.xml,200,200,crazing,19,53,123,171,71.0,112.0,104,118,0.8813559322033898
train,crazing_206.xml,200,200,crazing,126,29,189,137,157.5,83.0,63,108,0.5833333333333334
train,crazing_207.xml,200,200,crazing,2,43,170,125,86.0,84.0,168,82,2.048780487804878
train,crazing_208.xml,200,200,crazing,1,20,152,76,76.5,48.0,151,56,2.6964285714285716
train,crazing_208.xml,200,200,crazing,1,105,198,194,99.5,149.5,197,89,2.2134831460674156
train,crazing_209.xml,200,200,crazing,11,50,162,175,86.5,112.5,151,125,1.208
train,crazing_209.xml,200,200,crazing,3,3,148,56,75.5,29.5,145,53,2.7358490566037736
train,crazing_21.xml,200,200,crazing,27,27,198,76,112.5,51.5,171,49,3.489795918367347
train,crazing_21.xml,200,200,crazing,20,85,197,120,108.5,102.5,177,35,5.057142857142857
train,crazing_21.xml,200,200,crazing,24,123,198,187,111.0,155.0,174,64,2.71875
train,crazing_210.xml,200,200,crazing,4,41,81,141,42.5,91.0,77,100,0.77
train,crazing_211.xml,200,200,crazing,8,110,160,184,84.0,147.0,152,74,2.054054054054054
train,crazing_211.xml,200,200,crazing,102,1,185,173,143.5,87.0,83,172,0.48255813953488375
train,crazing_211.xml,200,200,crazing,1,31,144,95,72.5,63.0,143,64,2.234375
train,crazing_212.xml,200,200,crazing,1,140,185,199,93.0,169.5,184,59,3.1186440677966103
train,crazing_212.xml,200,200,crazing,10,15,172,109,91.0,62.0,162,94,1.7234042553191489
train,crazing_213.xml,200,200,crazing,26,124,151,198,88.5,161.0,125,74,1.6891891891891893
train,crazing_213.xml,200,200,crazing,33,7,157,56,95.0,31.5,124,49,2.5306122448979593
train,crazing_214.xml,200,200,crazing,9,72,200,149,104.5,110.5,191,77,2.4805194805194803
train,crazing_214.xml,200,200,crazing,31,111,163,192,97.0,151.5,132,81,1.6296296296296295
train,crazing_214.xml,200,200,crazing,48,1,199,61,123.5,31.0,151,60,2.5166666666666666
train,crazing_215.xml,200,200,crazing,1,1,186,54,93.5,27.5,185,53,3.490566037735849
train,crazing_215.xml,200,200,crazing,11,35,197,109,104.0,72.0,186,74,2.5135135135135136
train,crazing_215.xml,200,200,crazing,4,98,184,184,94.0,141.0,180,86,2.0930232558139537
train,crazing_216.xml,200,200,crazing,1,97,53,197,27.0,147.0,52,100,0.52
train,crazing_216.xml,200,200,crazing,23,1,180,93,101.5,47.0,157,92,1.7065217391304348
